Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MW532117,Human coronavirus OC43,,"Wang,Y., Zhang,Z., Zhang,L., Zhang,S., Zhao,J.","State Key Laboratory of Respiratory Disease, Guangzhou Institute of Respiratory Health, The First Affiliated Hospital of Guangzhou Medical University",China,2021-02-15T00:00:00Z,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30695,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2017-06-05,,"Human coronavirus OC43 strain OC43/China/11/2017, complete genome"
MW532118,Human coronavirus OC43,,"Wang,Y., Zhang,Z., Zhang,L., Zhang,S., Zhao,J.","State Key Laboratory of Respiratory Disease, Guangzhou Institute of Respiratory Health, The First Affiliated Hospital of Guangzhou Medical University",China,2021-02-15T00:00:00Z,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30689,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2017-04-08,,"Human coronavirus OC43 strain OC43/China/09/2017, complete genome"
MW532119,Human coronavirus OC43,,"Wang,Y., Zhang,Z., Zhang,L., Zhang,S., Zhao,J.","State Key Laboratory of Respiratory Disease, Guangzhou Institute of Respiratory Health, The First Affiliated Hospital of Guangzhou Medical University",China,2021-02-15T00:00:00Z,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30689,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2017-11-03,,"Human coronavirus OC43 strain OC43/China/10/2017, complete genome"
MW301121,Severe acute respiratory syndrome coronavirus 2,,"He,M., Fan,Z.","Institute of Blood Transfusion, Chinese Academy of Medical Sciences, Research platform for Transfusion-transmitted Disease",China,2020-11-28T00:00:00Z,MY-001,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29897,GenBank,complete,,,,"China: Chengdu,Sichuan province",China,,Homo sapiens,oronasopharynx,2020-03-10,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/MY-001/2020, complete genome"
MT412338,Severe acute respiratory syndrome coronavirus 2,,"Li,X., Lu,S., Wu,B., Hu,X., Li,D., Ye,Y., Huang,X., Guo,W.","Henan Provincial Center for Disease Control and Prevention, Department of Infectious Disease Prevention and Control",China,2020-10-31T00:00:00Z,HN01,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29867,GenBank,complete,,,,China,China,,Homo sapiens,,2020-02-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HN01/2020, complete genome"
MT412339,Severe acute respiratory syndrome coronavirus 2,,"Li,X., Lu,S., Wu,B., Hu,X., Li,D., Ye,Y., Huang,X., Guo,W.","Henan Provincial Center for Disease Control and Prevention, Department of Infectious Disease Prevention and Control",China,2020-10-31T00:00:00Z,HN04,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29867,GenBank,complete,,,,China,China,,Homo sapiens,,2020-02-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HN04/2020, complete genome"
MT412340,Severe acute respiratory syndrome coronavirus 2,,"Li,X., Lu,S., Wu,B., Huang,X.","Henan Provincial Center for Disease Control and Prevention, Department of Infectious Disease Prevention and Control",China,2020-10-31T00:00:00Z,HN07,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29866,GenBank,complete,,,,China,China,,Homo sapiens,,2020-04-02,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HN07/2020, complete genome"
MW011762,Severe acute respiratory syndrome coronavirus 2,,"Qiu,S., Li,P.","Center for Disease Control and Prevention of PLA, Centre for Infectious Disease Control",China,2020-09-16T00:00:00Z,P2-SARS-CoV-2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,"China: Hunan,Huaihua",China,,Homo sapiens,oronasopharynx,2020-01-17,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/P2-SARS-CoV-2/2020, complete genome"
MW011763,Severe acute respiratory syndrome coronavirus 2,,"Qiu,S., Li,P.","Center for Disease Control and Prevention of PLA, Centre for Infectious Disease Control",China,2020-09-16T00:00:00Z,P5-SARS-CoV-2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,"China: Hunan,Huaihua",China,,Homo sapiens,oronasopharynx,2020-01-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/P5-SARS-CoV-2/2020, complete genome"
MW011764,Severe acute respiratory syndrome coronavirus 2,,"Qiu,S., Li,P.","Center for Disease Control and Prevention of PLA, Centre for Infectious Disease Control",China,2020-09-16T00:00:00Z,P6-SARS-CoV-2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,"China: Hunan,Huaihua",China,,Homo sapiens,oronasopharynx,2020-01-28,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/P6-SARS-CoV-2/2020, complete genome"
MW011765,Severe acute respiratory syndrome coronavirus 2,,"Qiu,S., Li,P.","Center for Disease Control and Prevention of PLA, Centre for Infectious Disease Control",China,2020-09-16T00:00:00Z,P7-SARS-CoV-2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,"China: Hunan,Shaoyang",China,,Homo sapiens,oronasopharynx,2020-01-27,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/P7-SARS-CoV-2/2020, complete genome"
MW011766,Severe acute respiratory syndrome coronavirus 2,,"Qiu,S., Li,P.","Center for Disease Control and Prevention of PLA, Centre for Infectious Disease Control",China,2020-09-16T00:00:00Z,P8-SARS-CoV-2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,"China: Hunan,Shaoyang",China,,Homo sapiens,oronasopharynx,2020-01-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/P8-SARS-CoV-2/2020, complete genome"
MW011767,Severe acute respiratory syndrome coronavirus 2,,"Qiu,S., Li,P.","Center for Disease Control and Prevention of PLA, Centre for Infectious Disease Control",China,2020-09-16T00:00:00Z,P10-SARS-CoV-2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,"China: Hunan,Shaoyang",China,,Homo sapiens,oronasopharynx,2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/P10-SARS-CoV-2/2020, complete genome"
MW011768,Severe acute respiratory syndrome coronavirus 2,,"Qiu,S., Li,P.","Center for Disease Control and Prevention of PLA, Centre for Infectious Disease Control",China,2020-09-16T00:00:00Z,P11-SARS-CoV-2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,"China: Hunan,Shaoyang",China,,Homo sapiens,oronasopharynx,2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/P11-SARS-CoV-2/2020, complete genome"
MT034054,Severe acute respiratory syndrome coronavirus 2,,"Li,P.","Center for Disease Control and Prevention of PLA, Infectious Disease Control Center",China,2020-08-16T00:00:00Z,Beijing-01,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29885,GenBank,complete,,,,China: Beijing,China,,Homo sapiens,"lung, oronasopharynx",2020-01-03,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Beijing-01/2020, complete genome"
MT501650,Coronavirus cyb-BetaCoV/2019,,"Zhang,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2020-07-07T00:00:00Z,cyb-BetaCoV/2019,Coronavirus cyb-BetaCoV/2019,,Coronaviridae,ssRNA(+),30499,GenBank,complete,,,,China,China,,Homo sapiens,,2019-06,,"Coronavirus cyb-BetaCoV/2019, complete genome"
MT501654,Coronavirus cyc-BetaCoV/2019,,"Zhang,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2020-07-07T00:00:00Z,cyc-BetaCoV/2019,Coronavirus cyc-BetaCoV/2019,,Coronaviridae,ssRNA(+),30499,GenBank,complete,,,,China,China,,Homo sapiens,,2019-06,,"Coronavirus cyc-BetaCoV/2019, complete genome"
MT501655,Coronavirus cya-BetaCoV/2019,,"Zhang,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2020-07-07T00:00:00Z,cya-BetaCoV/2019,Coronavirus cya-BetaCoV/2019,,Coronaviridae,ssRNA(+),30499,GenBank,complete,,,,China,China,,Homo sapiens,,2019-06,,"Coronavirus cya-BetaCoV/2019, complete genome"
MT627325,Severe acute respiratory syndrome coronavirus 2,,"Peng,H., Tang,H., Jiang,L., Qi,Z., Zhao,P.","Second Military Medical University, Department of Microbiology",China,2020-06-17T00:00:00Z,Shanghai_CH-02,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29859,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2020-02-28,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Shanghai_CH-02/2020, complete genome"
MT622319,Severe acute respiratory syndrome coronavirus 2,,"Peng,H., Tang,H., Jiang,L., Qi,Z., Zhao,P.","Second Military Medical University, Department of Microbiology",China,2020-06-16T00:00:00Z,Shanghai_CH-03,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29889,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2020-01-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Shanghai_CH-03/2020, complete genome"
MT568634,Severe acute respiratory syndrome coronavirus 2,,"Zhao,J., Wang,Y., Li,M.","BGI, BGI-IOIR",China,2020-06-05T00:00:00Z,GZMU0014,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29861,GenBank,complete,,,,China: Guangzhou,China,,Homo sapiens,"lung, oronasopharynx",2020-02-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0014/2020, complete genome"
MT568635,Severe acute respiratory syndrome coronavirus 2,,"Zhao,J., Wang,Y., Li,M.","BGI, BGI-IOIR",China,2020-06-05T00:00:00Z,GZMU0016,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29854,GenBank,complete,,,,China: Guangzhou,China,,Homo sapiens,"lung, oronasopharynx",2020-02-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0016/2020, complete genome"
MT568636,Severe acute respiratory syndrome coronavirus 2,,"Zhao,J., Wang,Y., Li,M.","BGI, BGI-IOIR",China,2020-06-05T00:00:00Z,GZMU0030,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29858,GenBank,complete,,,,China: Guangzhou,China,,Homo sapiens,,2020-02-27,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0030/2020, complete genome"
MT568637,Severe acute respiratory syndrome coronavirus 2,,"Zhao,J., Wang,Y., Li,M.","BGI, BGI-IOIR",China,2020-06-05T00:00:00Z,GZMU0031,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29860,GenBank,complete,,,,China: Guangzhou,China,,Homo sapiens,,2020-02-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0031/2020, complete genome"
MT568638,Severe acute respiratory syndrome coronavirus 2,,"Zhao,J., Wang,Y., Li,M.","BGI, BGI-IOIR",China,2020-06-05T00:00:00Z,GZMU0042,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29854,GenBank,complete,,,,China: Guangzhou,China,,Homo sapiens,"lung, oronasopharynx",2020-02-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0042/2020, complete genome"
MT568639,Severe acute respiratory syndrome coronavirus 2,,"Zhao,J., Wang,Y., Li,M.","BGI, BGI-IOIR",China,2020-06-05T00:00:00Z,GZMU0044,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29861,GenBank,complete,,,,China: Guangzhou,China,,Homo sapiens,,2020-02-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0044/2020, complete genome"
MT568640,Severe acute respiratory syndrome coronavirus 2,,"Zhao,J., Wang,Y., Li,M.","BGI, BGI-IOIR",China,2020-06-05T00:00:00Z,GZMU0047,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29858,GenBank,complete,,,,China: Guangzhou,China,,Homo sapiens,,2020-02-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0047/2020, complete genome"
MT568641,Severe acute respiratory syndrome coronavirus 2,,"Zhao,J., Wang,Y., Li,M.","BGI, BGI-IOIR",China,2020-06-05T00:00:00Z,GZMU0048,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29868,GenBank,complete,,,,China: Guangzhou,China,,Homo sapiens,,2020-02-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0048/2020, complete genome"
MT407649,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,CN1,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29833,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-01-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/CN1/2020, complete genome"
MT407650,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,CN2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29821,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-01-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/CN2/2020, complete genome"
MT407651,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,CN5,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29822,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-01-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/CN5/2020, complete genome"
MT407652,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,CN3,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29835,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-01-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/CN3/2020, complete genome"
MT407653,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,CN4,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29835,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-01-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/CN4/2020, complete genome"
MT407654,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,OS1,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29817,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS1/2020, complete genome"
MT407655,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,OS5,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29817,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS5/2020, complete genome"
MT407656,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,OS6,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29835,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS6/2020, complete genome"
MT407657,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,OS3,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29776,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS3/2020, complete genome"
MT407658,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,OS2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29770,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS2/2020, complete genome"
MT407659,Severe acute respiratory syndrome coronavirus 2,,"Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology",,2020-05-29T00:00:00Z,OS4,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29828,GenBank,complete,,,1,China: Zhejiang,China,,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS4/2020, complete genome"
MT534630,Severe acute respiratory syndrome coronavirus 2,,"Cui,L.","Jiangsu Provincial Center for Disease Control and Prevention, Institute of pathogenic microbiology",China,2020-05-29T00:00:00Z,Changzhou_JS27,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29845,GenBank,complete,,,,"China: Jiangsu, Changzhou",China,,Homo sapiens,oronasopharynx,2020-01-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Changzhou_JS27/2020, complete genome"
MT510727,Severe acute respiratory syndrome coronavirus 2,,"Guo,X., Zeng,L., Yu,Z.","Meizhou People Hospital, Research and Experiment Center",China,2020-05-26T00:00:00Z,"SARS-CoV-2-MZ02, Meizhou_MZ02",Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China,China,,Homo sapiens,,2020-02-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SARS-CoV-2-MZ02, Meizhou_MZ02/2020, complete genome"
MT510728,Severe acute respiratory syndrome coronavirus 2,,"Guo,X., Zeng,L., Yu,Z.","Meizhou People Hospital, Research and Experiment Center",China,2020-05-26T00:00:00Z,"SARS-CoV-2-MZ01, Meizhou_MZ01",Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China,China,,Homo sapiens,,2020-02-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SARS-CoV-2-MZ01, Meizhou_MZ01/2020, complete genome"
MT121216,Pangolin coronavirus,,"Liu,P., Jiang,J.Z., Wan,X.F., Hua,Y., Li,L., Zhou,J., Wang,X., Hou,F., Chen,J., Zou,J.","Guangdong Institute of Applied Biological Resources, Animals Endemic Disease",China,2020-05-18T00:00:00Z,MP789,Pangolin coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29521,GenBank,complete,,,1,China,China,,Manis javanica,lung,2019-03-29,,"Pangolin coronavirus isolate MP789, complete genome"
MT079843,Severe acute respiratory syndrome coronavirus 2,,"Wang,X., Zhou,Q., He,Y., Liu,L., Ma,X., Wei,X., Jiang,N., Liang,L., Zheng,Y., Ma,L., Xu,Y., Yang,D., Zhang,J., Yang,B., Deng,T., Zhai,B., Gao,Y., Liu,W., Bai,X., Pan,T., Wang,G., Chang,Y., Zhang,Z., Shi,H., Ma,W.L., Gao,Z.","Peking University People's Hospital, Department of Respiratory and Critical Care Medicine",China,2020-05-15T00:00:00Z,WHUHnCoV001,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29915,GenBank,complete,,,1,China,China,,Homo sapiens,,2020-01-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV001/2020, complete genome"
MT079844,Severe acute respiratory syndrome coronavirus 2,,"Wang,X., Zhou,Q., He,Y., Liu,L., Ma,X., Wei,X., Jiang,N., Liang,L., Zheng,Y., Ma,L., Xu,Y., Yang,D., Zhang,J., Yang,B., Deng,T., Zhai,B., Gao,Y., Liu,W., Bai,X., Pan,T., Wang,G., Chang,Y., Zhang,Z., Shi,H., Ma,W.L., Gao,Z.","Peking University People's Hospital, Department of Respiratory and Critical Care Medicine",China,2020-05-15T00:00:00Z,WHUHnCoV002,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29910,GenBank,complete,,,1,China,China,,Homo sapiens,,2020-01-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV002/2020, complete genome"
